,Search Term,vegan recipes
163,2007-02-17,21.5592651990086
164,2007-02-24,17.678597463187053
165,2007-03-03,22.852821110949115
166,2007-03-10,25.87111823881032
167,2007-03-17,21.5592651990086
168,2007-03-24,21.99045050298877
169,2007-03-31,25.008747630849975
170,2007-04-07,17.24741215920688
171,2007-04-14,14.660300335325848
172,2007-04-21,21.99045050298877
173,2007-04-28,15.953856247266362
174,2007-05-05,20.696894591048256
175,2007-05-12,18.540968071147397
176,2007-05-19,18.540968071147397
177,2007-05-26,18.540968071147397
178,2007-06-02,21.5592651990086
179,2007-06-09,20.265709287068084
180,2007-06-16,18.97215337512757
181,2007-06-23,19.834523983087912
182,2007-06-30,19.834523983087912
183,2007-07-07,15.953856247266362
184,2007-07-14,21.128079895028428
185,2007-07-21,20.696894591048256
186,2007-07-28,20.265709287068084
