,Search Term,sustainability
164,2007-02-24,55.36625514403293
165,2007-03-03,55.36625514403293
166,2007-03-10,54.473251028806594
167,2007-03-17,57.152263374485614
168,2007-03-24,59.831275720164626
169,2007-03-31,57.152263374485614
170,2007-04-07,58.938271604938286
171,2007-04-14,64.29629629629632
172,2007-04-21,62.51028806584363
173,2007-04-28,58.938271604938286
174,2007-05-05,59.831275720164626
175,2007-05-12,52.687242798353914
176,2007-05-19,54.473251028806594
177,2007-05-26,52.687242798353914
178,2007-06-02,51.79423868312758
179,2007-06-09,53.580246913580254
180,2007-06-16,50.90123456790124
181,2007-06-23,58.938271604938286
182,2007-06-30,48.22222222222223
183,2007-07-07,50.00823045267491
184,2007-07-14,54.473251028806594
185,2007-07-21,49.11522633744857
186,2007-07-28,51.79423868312758
187,2007-08-04,49.11522633744857
188,2007-08-11,45.543209876543216
189,2007-08-18,50.90123456790124
190,2007-08-25,52.687242798353914
191,2007-09-01,58.938271604938286
192,2007-09-08,64.29629629629632
193,2007-09-15,68.761316872428
194,2007-09-22,65.18930041152264
195,2007-09-29,67.86831275720165
196,2007-10-06,73.22633744855969
197,2007-10-13,64.29629629629632
198,2007-10-20,65.18930041152264
199,2007-10-27,72.33333333333334
200,2007-11-03,66.97530864197533
201,2007-11-10,66.08230452674898
202,2007-11-17,58.938271604938286
203,2007-11-24,68.761316872428
204,2007-12-01,69.65432098765434
205,2007-12-08,66.08230452674898
206,2007-12-15,50.00823045267491
207,2007-12-22,31.255144032921816
208,2007-12-29,43.75720164609054
209,2008-01-05,61.6172839506173
210,2008-01-12,67.86831275720165
211,2008-01-19,66.97530864197533
212,2008-01-26,65.18930041152264
213,2008-02-02,66.97530864197533
214,2008-02-09,66.08230452674898
215,2008-02-16,66.97530864197533
216,2008-02-23,68.761316872428
217,2008-03-01,66.97530864197533
218,2008-03-08,64.29629629629632
219,2008-03-15,65.18930041152264
220,2008-03-22,71.440329218107
221,2008-03-29,65.18930041152264
222,2008-04-05,81.26337448559673
223,2008-04-12,79.47736625514405
224,2008-04-19,89.30041152263377
225,2008-04-26,81.26337448559673
226,2008-05-03,81.26337448559673
227,2008-05-10,71.440329218107
228,2008-05-17,67.86831275720165
229,2008-05-24,61.6172839506173
230,2008-05-31,66.97530864197533
231,2008-06-07,64.29629629629632
232,2008-06-14,58.938271604938286
233,2008-06-21,61.6172839506173
234,2008-06-28,57.152263374485614
235,2008-07-05,60.724279835390945
236,2008-07-12,59.831275720164626
237,2008-07-19,60.724279835390945
238,2008-07-26,59.831275720164626
239,2008-08-02,63.40329218106997
240,2008-08-09,60.724279835390945
241,2008-08-16,58.04526748971194
242,2008-08-23,61.6172839506173
243,2008-08-30,65.18930041152264
244,2008-09-06,73.22633744855969
245,2008-09-13,82.15637860082306
246,2008-09-20,78.5843621399177
247,2008-09-27,77.69135802469138
248,2008-10-04,81.26337448559673
249,2008-10-11,81.26337448559673
250,2008-10-18,83.04938271604941
251,2008-10-25,79.47736625514405
252,2008-11-01,75.01234567901236
253,2008-11-08,81.26337448559673
254,2008-11-15,86.62139917695475
255,2008-11-22,76.79835390946504
256,2008-11-29,87.51440329218109
257,2008-12-06,80.0
258,2008-12-13,61.0
259,2008-12-20,35.0
260,2008-12-27,41.0
261,2009-01-03,63.0
262,2009-01-10,68.0
263,2009-01-17,69.0
264,2009-01-24,80.0
265,2009-01-31,79.0
266,2009-02-07,77.0
267,2009-02-14,79.0
268,2009-02-21,79.0
269,2009-02-28,81.0
