,Search Term,animal welfare
395,2011-07-30,40.152866242038215
396,2011-08-06,37.64331210191082
397,2011-08-13,47.054140127388536
398,2011-08-20,38.89808917197451
399,2011-08-27,41.40764331210191
400,2011-09-03,33.87898089171975
401,2011-09-10,47.054140127388536
402,2011-09-17,43.917197452229296
403,2011-09-24,45.79936305732484
404,2011-10-01,39.52547770700637
405,2011-10-08,40.152866242038215
406,2011-10-15,48.308917197452224
407,2011-10-22,39.52547770700637
408,2011-10-29,37.64331210191082
409,2011-11-05,47.681528662420384
410,2011-11-12,41.40764331210191
411,2011-11-19,41.40764331210191
412,2011-11-26,46.42675159235668
413,2011-12-03,47.054140127388536
414,2011-12-10,41.40764331210191
415,2011-12-17,31.9968152866242
416,2011-12-24,31.369426751592357
417,2011-12-31,41.40764331210191
418,2012-01-07,43.917197452229296
419,2012-01-14,38.89808917197451
420,2012-01-21,46.42675159235668
421,2012-01-28,45.79936305732484
422,2012-02-04,42.03503184713375
423,2012-02-11,42.03503184713375
424,2012-02-18,46.42675159235668
425,2012-02-25,40.780254777070056
426,2012-03-03,38.89808917197451
427,2012-03-10,37.015923566878975
428,2012-03-17,38.89808917197451
429,2012-03-24,39.52547770700637
430,2012-03-31,38.27070063694267
431,2012-04-07,43.289808917197455
432,2012-04-14,47.681528662420384
433,2012-04-21,38.27070063694267
434,2012-04-28,48.308917197452224
435,2012-05-05,49.56369426751592
436,2012-05-12,44.544585987261144
437,2012-05-19,41.40764331210191
438,2012-05-26,32.62420382165605
439,2012-06-02,37.015923566878975
440,2012-06-09,34.50636942675159
441,2012-06-16,37.015923566878975
442,2012-06-23,38.27070063694267
443,2012-06-30,38.89808917197451
444,2012-07-07,40.152866242038215
445,2012-07-14,43.917197452229296
446,2012-07-21,35.13375796178344
447,2012-07-28,33.87898089171975
448,2012-08-04,38.89808917197451
449,2012-08-11,39.52547770700637
450,2012-08-18,37.64331210191082
451,2012-08-25,36.38853503184713
452,2012-09-01,40.780254777070056
453,2012-09-08,40.780254777070056
454,2012-09-15,39.52547770700637
455,2012-09-22,38.27070063694267
456,2012-09-29,36.38853503184713
457,2012-10-06,40.152866242038215
458,2012-10-13,38.27070063694267
459,2012-10-20,38.27070063694267
460,2012-10-27,35.13375796178344
461,2012-11-03,41.40764331210191
462,2012-11-10,38.27070063694267
463,2012-11-17,32.62420382165605
464,2012-11-24,40.780254777070056
465,2012-12-01,52.15976751211562
466,2012-12-08,46.09467826652078
467,2012-12-15,47.914205040199235
468,2012-12-22,42.45562471916388
469,2012-12-29,45.488169341961296
470,2013-01-05,53.372785361234584
471,2013-01-12,43.66864256828285
472,2013-01-19,54.58580321035355
473,2013-01-26,50.94674966299665
