ds,vegan,vegetarian,plant_based_plus_plant_based,vegan_informative,vegetarian_informative,plant based_informative,vegan_behavior,vegetarian_behavior,plant based_behavior,behavior_bare,informative_bare,food
2008-05-31,19.0,17.4,0.14,14.878511999999999,11.513379119999998,0.14,4.121488000000001,5.886620880000001,0.0,925.8686885245902,341.53000000000003,341.53000000000003
2008-06-30,18.0,17.7,0.14,14.1232768,11.710240392,0.14,3.8767232000000007,5.989759608,0.0,975.1157377049179,349.86,349.86
2008-07-31,17.0,17.099999999999998,0.14,13.1083906,11.375801967999998,0.14,3.8916094000000006,5.724198032000001,0.0,971.9249180327869,333.2,333.2
2008-08-31,16.0,15.899999999999999,0.14,12.0098124,9.935397383999998,0.14,3.9901876000000005,5.964602616000001,0.0,959.1901639344261,349.86,349.86
2008-09-30,17.0,17.7,0.15695133440000003,13.2039504,11.141414679999999,0.15695133440000003,3.796049600000001,6.558585320000001,0.0,1027.5267213114755,374.85,374.85
2008-10-31,19.0,21.3,0.14,13.8744138,12.977362935999999,0.14,5.1255862,8.322637064000002,0.0,1239.9440983606555,416.5,416.5
2008-11-30,19.0,18.9,0.14,14.2833384,11.442719007999997,0.14,4.7166616,7.457280992000001,0.0,1297.5544262295082,383.18,383.18
2008-12-31,17.0,21.0,0.14,12.408276149999999,12.40754816,0.14,4.59172385,8.59245184,0.0,1158.9188524590163,366.52,366.52
2009-01-31,17.0,20.4,0.14,12.657071199999999,12.921806983999996,0.14,4.342928800000001,7.478193016000001,0.0,1096.5439344262295,383.18,383.18
2009-02-28,17.0,18.9,0.14,12.857246,11.402557823999999,0.14,4.142754000000001,7.497442176000001,0.0,1048.1849180327868,383.18,383.18
2009-03-31,18.0,18.9,0.14,13.594645199999999,11.919187167999997,0.14,4.4053548000000005,6.980812832000001,0.0,1010.5642622950819,366.52,366.52
2009-04-30,16.0,18.0,0.14,11.6724033,10.551488831999999,0.14,4.327596700000001,7.448511168000001,0.0,1049.055081967213,358.19,358.19
2009-05-31,17.0,18.9,0.14,12.2988763,11.424852823999998,0.14,4.7011237,7.475147176000001,0.0,1115.1413114754098,349.86,349.86
2009-06-30,17.0,18.9,0.14,12.297349949999997,10.932535319999998,0.14,4.702650050000002,7.967464680000001,0.0,1197.8118032786886,358.19,358.19
2009-07-31,17.0,18.0,0.14,11.830269699999999,9.830126903999998,0.14,5.1697303,8.169873096000002,0.0,1157.744262295082,358.19,358.19
2009-08-31,17.0,18.599999999999998,0.28,12.43437845,10.467769095999996,0.28,4.56562155,8.132230904000002,0.0,1137.5401639344261,366.52,366.52
2009-09-30,18.0,20.4,0.14,12.76827245,11.407818703999999,0.14,5.2317275500000004,8.992181296,0.0,1260.4147540983606,374.85,374.85
2009-10-31,22.0,23.099999999999998,0.14,15.1863393,12.777511039999995,0.14,6.813660700000001,10.322488960000003,0.0,1397.2304918032785,399.84000000000003,399.84000000000003
2009-11-30,20.0,20.4,0.14,14.161848449999999,10.700130127999998,0.14,5.838151550000001,9.699869872,0.0,1446.3845901639345,374.85,374.85
2009-12-31,21.0,23.099999999999998,0.28,14.470994999999998,11.647825447999997,0.28,6.529005000000001,11.452174552,0.0,1293.3322950819672,374.85,374.85
2010-01-31,20.0,22.2,0.28,14.123638249999999,11.238416975999998,0.28,5.876361750000001,10.961583024000001,0.0,1288.0683606557377,358.19,358.19
2010-02-28,21.0,21.599999999999998,0.28,14.6299755,11.715779975999995,0.28,6.3700245,9.884220024000003,0.0,1158.5750819672132,366.52,366.52
2010-03-31,21.0,20.7,0.301189168,15.259586299999999,12.061300783999998,0.301189168,5.7404137,8.638699216000001,0.0,1099.2470491803278,358.19,358.19
2010-04-30,19.0,19.5,0.28,13.497336749999999,10.36038084,0.2555065072,5.502663250000001,9.13961916,0.024493492799999995,1119.605737704918,333.2,333.2
2010-05-31,19.0,18.0,0.14,13.60476435,9.5554772,0.14,5.39523565,8.4445228,0.0,1125.037868852459,341.53000000000003,341.53000000000003
2010-06-30,19.0,17.7,0.14,13.741930049999999,9.804633919999997,0.14,5.258069950000001,7.895366080000001,0.0,1170.081475409836,333.2,333.2
2010-07-31,20.0,18.599999999999998,0.14,14.7462004,10.851665671999996,0.14,5.253799600000001,7.748334328000001,0.0,1120.68,358.19,358.19
2010-08-31,20.0,17.7,0.5727135008,14.665972700000001,9.890784543999999,0.5288095008,5.3340273,7.809215456000001,0.043904000000000006,1098.2601639344261,358.19,358.19
2010-09-30,20.0,19.2,0.29695133440000004,14.68238525,11.025881935999998,0.29695133440000004,5.317614750000001,8.174118064000002,0.0,1108.01131147541,358.19,358.19
2010-10-31,23.0,21.9,0.2927135008,16.82124945,12.989779239999999,0.2927135008,6.17875055,8.91022076,0.0,1274.936557377049,391.51,391.51
2010-11-30,22.0,19.5,0.28,15.91097825,10.965045935999997,0.28,6.089021750000001,8.534954064000003,0.0,1387.3070491803278,374.85,374.85
2010-12-31,27.0,23.7,0.29695133440000004,19.801836299999998,13.33736632,0.29695133440000004,7.1981637,10.36263368,0.0,1394.0840983606558,416.5,416.5
2011-01-31,28.0,23.099999999999998,0.44542700160000004,19.98023125,13.605691399999996,0.44542700160000004,8.01976875,9.494308600000002,0.0,1369.3826229508197,416.5,416.5
2011-02-28,28.0,22.2,0.441189168,20.44595665,12.725116175999998,0.441189168,7.5540433500000015,9.474883824,0.0,1269.277213114754,416.5,416.5
2011-03-31,28.0,22.2,0.441189168,20.9072745,13.543047695999997,0.419237168,7.0927255,8.656952304000002,0.021952000000000003,1234.2381967213114,416.5,416.5
2011-04-30,24.0,19.5,0.43695133440000006,17.683311999999997,11.418223024,0.39304733440000006,6.316688000000002,8.081776976,0.043904000000000006,1258.198524590164,416.5,416.5
2011-05-31,24.0,19.8,0.29695133440000004,17.3904586,11.436513007999999,0.26402333440000003,6.6095414,8.363486992000002,0.032928000000000006,1310.663442622951,416.5,416.5
2011-06-30,26.0,20.099999999999998,0.301189168,18.94426705,11.694458463999997,0.257285168,7.05573295,8.405541536000001,0.043904000000000006,1457.5060655737705,416.5,416.5
2011-07-31,27.0,21.0,0.43695133440000006,19.6415181,12.096751743999999,0.39304733440000006,7.358481900000001,8.903248256000001,0.043904000000000006,1377.3709836065573,399.84000000000003,399.84000000000003
2011-08-31,27.0,21.599999999999998,1.4423783360000002,19.19220525,12.667624183999996,1.0085880470400002,7.807794750000001,8.932375816000002,0.43379028896000005,1312.8104918032786,408.17,408.17
2011-09-30,28.0,23.099999999999998,1.0054270016000002,19.684753899999997,14.150172343999996,0.7581747107200002,8.315246100000001,8.949827656000002,0.24725229088000003,1377.7898360655738,408.17,408.17
2011-10-31,32.0,23.4,0.8611891680000001,22.9888755,13.866155847999998,0.6704227756800001,9.011124500000001,9.533844152,0.19076639232,1528.4563934426228,416.5,416.5
