,Search Term,plant based recipes
412,2016-10-22,7.767857142857143
413,2016-10-29,6.696428571428571
414,2016-11-05,10.446428571428571
415,2016-11-12,15.0
416,2016-11-19,13.660714285714285
417,2016-11-26,16.0
418,2016-12-03,11.0
419,2016-12-10,7.000000000000001
420,2016-12-17,10.0
421,2016-12-24,19.0
422,2016-12-31,27.0
423,2017-01-07,17.0
424,2017-01-14,16.0
425,2017-01-21,15.0
426,2017-01-28,16.0
427,2017-02-04,13.0
428,2017-02-11,14.000000000000002
429,2017-02-18,18.0
430,2017-02-25,11.0
431,2017-03-04,11.0
432,2017-03-11,12.000000000000002
433,2017-03-18,12.000000000000002
434,2017-03-25,14.000000000000002
435,2017-04-01,11.0
436,2017-04-08,13.0
437,2017-04-15,9.0
438,2017-04-22,9.0
439,2017-04-29,12.000000000000002
440,2017-05-06,9.0
441,2017-05-13,15.0
442,2017-05-20,16.0
443,2017-05-27,16.0
444,2017-06-03,12.000000000000002
445,2017-06-10,12.000000000000002
446,2017-06-17,28.000000000000004
447,2017-06-24,48.00000000000001
448,2017-07-01,56.99999999999999
449,2017-07-08,62.0
450,2017-07-15,63.0
451,2017-07-22,57.99999999999999
452,2017-07-29,68.0
453,2017-08-05,54.0
454,2017-08-12,43.0
455,2017-08-19,41.0
456,2017-08-26,33.0
457,2017-09-02,31.0
458,2017-09-09,23.0
459,2017-09-16,21.0
460,2017-09-23,21.0
461,2017-09-30,18.0
462,2017-10-07,23.0
463,2017-10-14,23.0
464,2017-10-21,21.0
465,2017-10-28,17.0
466,2017-11-04,20.0
467,2017-11-11,26.0
468,2017-11-18,15.0
469,2017-11-25,22.0
470,2017-12-02,18.0
471,2017-12-09,15.0
472,2017-12-16,17.0
473,2017-12-23,27.0
474,2017-12-30,40.0
475,2018-01-06,31.0
476,2018-01-13,31.0
477,2018-01-20,31.0
478,2018-01-27,28.999999999999996
479,2018-02-03,26.0
480,2018-02-10,23.0
481,2018-02-17,23.0
482,2018-02-24,25.0
483,2018-03-03,24.000000000000004
484,2018-03-10,25.0
485,2018-03-17,22.0
486,2018-03-24,19.0
487,2018-03-31,23.0
488,2018-04-07,23.0
489,2018-04-14,21.0
490,2018-04-21,25.0
491,2018-04-28,19.0
492,2018-05-05,19.0
493,2018-05-12,21.0
494,2018-05-19,18.0
495,2018-05-26,20.0
496,2018-06-02,19.0
497,2018-06-09,24.000000000000004
498,2018-06-16,22.0
499,2018-06-23,22.0
500,2018-06-30,21.0
501,2018-07-07,16.0
502,2018-07-14,18.0
503,2018-07-21,24.000000000000004
504,2018-07-28,22.0
505,2018-08-04,21.0
506,2018-08-11,17.0
507,2018-08-18,21.0
508,2018-08-25,23.0
509,2018-09-01,23.0
510,2018-09-08,20.0
511,2018-09-15,17.0
512,2018-09-22,22.0
513,2018-09-29,18.0
514,2018-10-06,21.0
515,2018-10-13,17.0
516,2018-10-20,21.0
517,2018-10-27,18.0
518,2018-11-03,20.0
519,2018-11-10,17.0
520,2018-11-17,12.000000000000002
521,2018-11-24,17.0
522,2018-12-01,13.0
523,2018-12-08,15.0
524,2018-12-15,18.0
525,2018-12-22,24.000000000000004
526,2018-12-29,35.0
527,2019-01-05,34.0
528,2019-01-12,21.0
529,2019-01-19,27.0
530,2019-01-26,30.0
531,2019-02-02,26.0
532,2019-02-09,22.0
533,2019-02-16,23.0
534,2019-02-23,27.0
535,2019-03-02,23.0
536,2019-03-09,24.000000000000004
537,2019-03-16,25.0
538,2019-03-23,23.0
539,2019-03-30,26.0
540,2019-04-06,30.0
541,2019-04-13,21.0
542,2019-04-20,21.0
543,2019-04-27,24.000000000000004
544,2019-05-04,24.000000000000004
545,2019-05-11,22.0
546,2019-05-18,25.0
547,2019-05-25,22.0
548,2019-06-01,25.0
549,2019-06-08,26.0
550,2019-06-15,24.000000000000004
551,2019-06-22,23.0
552,2019-06-29,25.0
553,2019-07-06,25.0
554,2019-07-13,25.0
555,2019-07-20,30.0
556,2019-07-27,28.999999999999996
557,2019-08-03,33.0
558,2019-08-10,31.0
559,2019-08-17,28.000000000000004
560,2019-08-24,28.000000000000004
561,2019-08-31,25.0
562,2019-09-07,26.0
563,2019-09-14,28.999999999999996
564,2019-09-21,24.000000000000004
565,2019-09-28,33.0
566,2019-10-05,40.0
567,2019-10-12,43.0
568,2019-10-19,88.0
569,2019-10-26,96.00000000000001
570,2019-11-02,87.0
571,2019-11-09,78.0
572,2019-11-16,75.0
573,2019-11-23,61.00000000000001
574,2019-11-30,59.0
575,2019-12-07,46.0
576,2019-12-14,46.0
577,2019-12-21,54.0
578,2019-12-28,100.0
579,2020-01-04,79.0
580,2020-01-11,69.0
581,2020-01-18,72.0
582,2020-01-25,57.88095238095238
583,2020-02-01,55.15714285714286
584,2020-02-08,61.285714285714285
585,2020-02-15,58.561904761904756
586,2020-02-22,53.114285714285714
587,2020-02-29,44.94285714285714
588,2020-03-07,38.13333333333333
589,2020-03-14,23.152380952380952
590,2020-03-21,29.280952380952378
591,2020-03-28,28.599999999999998
592,2020-04-04,25.195238095238093
593,2020-04-11,28.599999999999998
594,2020-04-18,26.557142857142857
595,2020-04-25,32.0047619047619
596,2020-05-02,34.72857142857143
597,2020-05-09,36.77142857142857
598,2020-05-16,33.36666666666667
599,2020-05-23,32.68571428571428
600,2020-05-30,25.876190476190473
601,2020-06-06,29.280952380952378
602,2020-06-13,27.91904761904762
603,2020-06-20,37.452380952380956
604,2020-06-27,30.642857142857142
605,2020-07-04,42.219047619047615
606,2020-07-11,40.17619047619048
607,2020-07-18,36.09047619047619
608,2020-07-25,34.04761904761905
609,2020-08-01,34.72857142857143
610,2020-08-08,33.36666666666667
611,2020-08-15,27.23809523809524
612,2020-08-22,27.91904761904762
613,2020-08-29,27.91904761904762
614,2020-09-05,34.04761904761905
615,2020-09-12,28.599999999999998
616,2020-09-19,25.195238095238093
617,2020-09-26,34.04761904761905
618,2020-10-03,31.323809523809526
619,2020-10-10,29.961904761904762
620,2020-10-17,31.323809523809526
621,2020-10-24,27.91904761904762
622,2020-10-31,26.557142857142857
623,2020-11-07,26.557142857142857
624,2020-11-14,27.91904761904762
625,2020-11-21,23.833333333333336
626,2020-11-28,25.876190476190473
627,2020-12-05,23.833333333333336
628,2020-12-12,23.152380952380952
629,2020-12-19,23.833333333333336
630,2020-12-26,40.85714285714286
631,2021-01-02,44.94285714285714
632,2021-01-09,38.81428571428571
633,2021-01-16,38.13333333333333
634,2021-01-23,36.09047619047619
635,2021-01-30,32.68571428571428
636,2021-02-06,30.642857142857142
637,2021-02-13,29.961904761904762
638,2021-02-20,43.58095238095238
639,2021-02-27,33.36666666666667
640,2021-03-06,25.195238095238093
641,2021-03-13,32.0047619047619
642,2021-03-20,31.323809523809526
643,2021-03-27,30.642857142857142
644,2021-04-03,33.36666666666667
645,2021-04-10,29.961904761904762
646,2021-04-17,29.280952380952378
647,2021-04-24,27.91904761904762
648,2021-05-01,32.0047619047619
649,2021-05-08,29.961904761904762
650,2021-05-15,25.195238095238093
651,2021-05-22,27.23809523809524
652,2021-05-29,27.91904761904762
653,2021-06-05,28.599999999999998
654,2021-06-12,27.23809523809524
655,2021-06-19,25.195238095238093
656,2021-06-26,31.323809523809526
657,2021-07-03,28.599999999999998
658,2021-07-10,26.557142857142857
659,2021-07-17,27.91904761904762
660,2021-07-24,27.23809523809524
661,2021-07-31,29.280952380952378
662,2021-08-07,29.961904761904762
663,2021-08-14,27.91904761904762
664,2021-08-21,25.195238095238093
665,2021-08-28,24.514285714285712
666,2021-09-04,23.152380952380952
667,2021-09-11,24.514285714285712
668,2021-09-18,23.152380952380952
669,2021-09-25,26.557142857142857
670,2021-10-02,23.152380952380952
671,2021-10-09,27.23809523809524
672,2021-10-16,21.79047619047619
673,2021-10-23,23.833333333333336
674,2021-10-30,23.152380952380952
675,2021-11-06,27.23809523809524
676,2021-11-13,21.79047619047619
677,2021-11-20,21.79047619047619
678,2021-11-27,22.47142857142857
679,2021-12-04,21.109523809523807
680,2021-12-11,21.79047619047619
681,2021-12-18,15.661904761904763
682,2021-12-25,25.876190476190473
683,2022-01-01,44.94285714285714
