,Search Term,vegan recipes
165,2007-02-24,14.177526479254595
166,2007-03-03,16.155785987987795
167,2007-03-10,17.474625660476594
168,2007-03-17,12.858686806765796
169,2007-03-24,15.496366151743397
170,2007-03-31,17.144915742354392
171,2007-04-07,11.869557052399196
172,2007-04-14,10.880427298032595
173,2007-04-21,14.177526479254595
174,2007-04-28,10.221007461788197
175,2007-05-05,14.177526479254595
176,2007-05-12,13.518106643010194
177,2007-05-19,12.199266970521396
178,2007-05-26,12.858686806765796
179,2007-06-02,14.177526479254595
180,2007-06-09,14.507236397376797
181,2007-06-16,12.858686806765796
182,2007-06-23,13.847816561132396
183,2007-06-30,14.836946315498995
184,2007-07-07,11.210137216154795
185,2007-07-14,13.847816561132396
186,2007-07-21,13.847816561132396
187,2007-07-28,11.869557052399196
