,Search Term,plant based restaurants near me
351,2023-08-19,0.0
352,2023-08-26,0.0
353,2023-09-02,0.0
354,2023-09-09,38.66086956521739
355,2023-09-16,27.50869565217391
356,2023-09-23,0.0
357,2023-09-30,45.35217391304347
358,2023-10-07,29.739130434782606
359,2023-10-14,0.0
360,2023-10-21,25.278260869565216
361,2023-10-28,0.0
362,2023-11-04,31.9695652173913
363,2023-11-11,0.0
364,2023-11-18,0.0
365,2023-11-25,22.304347826086953
366,2023-12-02,0.0
367,2023-12-09,30.482608695652168
368,2023-12-16,0.0
369,2023-12-23,0.0
370,2023-12-30,72.86086956521739
371,2024-01-06,74.34782608695652
372,2024-01-13,56.504347826086956
373,2024-01-20,0.0
374,2024-01-27,0.0
375,2024-02-03,33.45652173913043
376,2024-02-10,28.252173913043478
377,2024-02-17,28.99565217391304
378,2024-02-24,0.0
379,2024-03-02,28.99565217391304
380,2024-03-09,0.0
381,2024-03-16,23.791304347826085
382,2024-03-23,0.0
383,2024-03-30,40.14782608695652
384,2024-04-06,0.0
385,2024-04-13,23.791304347826085
386,2024-04-20,29.739130434782606
387,2024-04-27,0.0
388,2024-05-04,0.0
389,2024-05-11,34.94347826086956
390,2024-05-18,0.0
391,2024-05-25,0.0
