,Search Term,plant based recipe
305,2022-10-01,35.03389830508475
306,2022-10-08,40.42372881355932
307,2022-10-15,34.13559322033898
308,2022-10-22,30.542372881355934
309,2022-10-29,37.728813559322035
310,2022-11-05,43.118644067796616
311,2022-11-12,35.03389830508475
312,2022-11-19,44.91525423728814
313,2022-11-26,29.64406779661017
314,2022-12-03,35.03389830508475
315,2022-12-10,35.932203389830505
316,2022-12-17,37.728813559322035
317,2022-12-24,42.22033898305085
318,2022-12-31,41.32203389830509
319,2023-01-07,39.525423728813564
320,2023-01-14,35.932203389830505
321,2023-01-21,61.08474576271187
322,2023-01-28,51.20338983050847
323,2023-02-04,46.71186440677966
324,2023-02-11,44.016949152542374
325,2023-02-18,37.728813559322035
326,2023-02-25,41.32203389830509
327,2023-03-04,38.6271186440678
328,2023-03-11,38.6271186440678
329,2023-03-18,42.22033898305085
330,2023-03-25,31.4406779661017
331,2023-04-01,43.118644067796616
332,2023-04-08,40.42372881355932
333,2023-04-15,46.71186440677966
334,2023-04-22,41.32203389830509
335,2023-04-29,38.6271186440678
336,2023-05-06,40.42372881355932
337,2023-05-13,36.83050847457628
338,2023-05-20,37.728813559322035
339,2023-05-27,38.6271186440678
340,2023-06-03,40.42372881355932
341,2023-06-10,40.42372881355932
342,2023-06-17,33.237288135593225
343,2023-06-24,42.22033898305085
344,2023-07-01,46.71186440677966
345,2023-07-08,32.33898305084746
346,2023-07-15,39.525423728813564
347,2023-07-22,36.83050847457628
348,2023-07-29,35.03389830508475
349,2023-08-05,44.016949152542374
350,2023-08-12,36.83050847457628
351,2023-08-19,41.32203389830509
352,2023-08-26,39.525423728813564
353,2023-09-02,38.6271186440678
354,2023-09-09,44.016949152542374
355,2023-09-16,35.03389830508475
356,2023-09-23,36.83050847457628
357,2023-09-30,39.525423728813564
358,2023-10-07,40.42372881355932
359,2023-10-14,32.33898305084746
360,2023-10-21,30.542372881355934
361,2023-10-28,27.847457627118644
362,2023-11-04,43.118644067796616
363,2023-11-11,33.237288135593225
364,2023-11-18,44.91525423728814
365,2023-11-25,38.6271186440678
366,2023-12-02,36.83050847457628
367,2023-12-09,35.03389830508475
368,2023-12-16,38.6271186440678
369,2023-12-23,40.42372881355932
370,2023-12-30,86.23728813559323
371,2024-01-06,89.83050847457628
372,2024-01-13,78.15254237288136
373,2024-01-20,65.57627118644068
374,2024-01-27,55.69491525423729
375,2024-02-03,58.38983050847458
376,2024-02-10,41.32203389830509
377,2024-02-17,48.50847457627119
378,2024-02-24,39.525423728813564
379,2024-03-02,37.728813559322035
380,2024-03-09,34.13559322033898
381,2024-03-16,38.6271186440678
382,2024-03-23,44.016949152542374
383,2024-03-30,42.22033898305085
384,2024-04-06,31.4406779661017
385,2024-04-13,35.932203389830505
386,2024-04-20,41.32203389830509
387,2024-04-27,33.237288135593225
388,2024-05-04,35.03389830508475
389,2024-05-11,39.525423728813564
390,2024-05-18,39.525423728813564
391,2024-05-25,35.932203389830505
