,Search Term,vegetarian restaurants
167,2007-03-10,37.3156273963644
168,2007-03-17,30.65212250415647
169,2007-03-24,43.312781799351534
170,2007-03-31,45.9781837562347
171,2007-04-07,35.98292641792281
172,2007-04-14,37.98197788558519
173,2007-04-21,39.314678864026774
174,2007-04-28,37.3156273963644
175,2007-05-05,33.317524461039646
176,2007-05-12,41.31373033168916
177,2007-05-19,37.98197788558519
178,2007-05-26,40.64737984246836
179,2007-06-02,40.64737984246836
180,2007-06-09,41.31373033168916
181,2007-06-16,38.648328374805985
182,2007-06-23,39.981029353247564
183,2007-06-30,48.64358571311788
184,2007-07-07,46.644534245455496
185,2007-07-14,39.981029353247564
186,2007-07-21,42.64643131013074
187,2007-07-28,39.314678864026774
188,2007-08-04,34.650225439481225
189,2007-08-11,36.6492769071436
