,Search Term,restaurant
164,2007-02-17,71.9821641626624
165,2007-02-24,68.51314420301601
166,2007-03-03,69.38039919292761
167,2007-03-10,65.04412424336964
168,2007-03-17,71.1149091727508
169,2007-03-24,73.71667414248559
170,2007-03-31,66.77863422319282
171,2007-04-07,67.64588921310443
172,2007-04-14,67.64588921310443
173,2007-04-21,71.1149091727508
174,2007-04-28,69.38039919292761
175,2007-05-05,73.71667414248559
176,2007-05-12,74.58392913239717
177,2007-05-19,71.1149091727508
178,2007-05-26,68.51314420301601
179,2007-06-02,68.51314420301601
180,2007-06-09,71.9821641626624
181,2007-06-16,72.84941915257399
182,2007-06-23,71.1149091727508
183,2007-06-30,71.1149091727508
184,2007-07-07,74.58392913239717
185,2007-07-14,75.45118412230877
186,2007-07-21,79.78745907186675
