,Search Term,vegan
162,2007-02-10,6.32762982319582
163,2007-02-17,5.867438563327032
164,2007-02-24,5.522295118425442
165,2007-03-03,5.982486378294229
166,2007-03-10,6.097534193261426
167,2007-03-17,6.097534193261426
168,2007-03-24,6.32762982319582
169,2007-03-31,6.2125820082286225
170,2007-04-07,5.867438563327032
171,2007-04-14,5.407247303458245
172,2007-04-21,5.982486378294229
173,2007-04-28,8.283442677638163
174,2007-05-05,8.05334704770377
175,2007-05-12,6.2125820082286225
176,2007-05-19,6.442677638163015
177,2007-05-26,6.097534193261426
178,2007-06-02,5.982486378294229
179,2007-06-09,5.7523907483598355
180,2007-06-16,6.442677638163015
181,2007-06-23,6.2125820082286225
182,2007-06-30,6.32762982319582
183,2007-07-07,6.32762982319582
184,2007-07-14,6.097534193261426
185,2007-07-21,6.557725453130211
