,Search Term,restaurant
164,2007-02-17,68.10861435743956
165,2007-02-24,64.52395044389012
166,2007-03-03,64.52395044389012
167,2007-03-10,63.62778446550274
168,2007-03-17,61.835452508728025
169,2007-03-24,60.93928653034067
170,2007-03-31,63.62778446550274
171,2007-04-07,58.250788595178584
172,2007-04-14,61.835452508728025
173,2007-04-21,63.62778446550274
174,2007-04-28,63.62778446550274
175,2007-05-05,67.2124483790522
176,2007-05-12,63.62778446550274
177,2007-05-19,60.0431205519533
178,2007-05-26,61.835452508728025
179,2007-06-02,63.62778446550274
180,2007-06-09,63.62778446550274
181,2007-06-16,61.835452508728025
182,2007-06-23,65.42011642227747
183,2007-06-30,62.731618487115384
184,2007-07-07,65.42011642227747
185,2007-07-14,69.9009463142143
186,2007-07-21,68.10861435743956
