,Search Term,food
478,2013-02-23,59.06361536846527
479,2013-03-02,61.335292882637006
480,2013-03-09,64.36419623486599
481,2013-03-16,62.849744558751496
482,2013-03-23,58.30638953040802
483,2013-03-30,58.30638953040802
484,2013-04-06,59.06361536846527
485,2013-04-13,59.820841206522516
486,2013-04-20,60.57806704457976
487,2013-04-27,58.30638953040802
488,2013-05-04,62.849744558751496
489,2013-05-11,62.09251872069426
490,2013-05-18,62.09251872069426
491,2013-05-25,58.30638953040802
492,2013-06-01,59.06361536846527
493,2013-06-08,59.06361536846527
494,2013-06-15,59.06361536846527
495,2013-06-22,61.335292882637006
496,2013-06-29,57.54916369235078
497,2013-07-06,59.820841206522516
498,2013-07-13,62.09251872069426
499,2013-07-20,56.79193785429353
500,2013-07-27,59.06361536846527
501,2013-08-03,59.820841206522516
502,2013-08-10,60.57806704457976
503,2013-08-17,59.820841206522516
504,2013-08-24,60.57806704457976
505,2013-08-31,58.30638953040802
506,2013-09-07,55.27748617817904
507,2013-09-14,57.54916369235078
508,2013-09-21,59.06361536846527
509,2013-09-28,59.820841206522516
510,2013-10-05,60.57806704457976
511,2013-10-12,61.335292882637006
512,2013-10-19,59.820841206522516
513,2013-10-26,58.30638953040802
514,2013-11-02,59.06361536846527
515,2013-11-09,61.335292882637006
516,2013-11-16,59.820841206522516
517,2013-11-23,59.820841206522516
518,2013-11-30,59.06361536846527
519,2013-12-07,56.79193785429353
520,2013-12-14,55.27748617817904
521,2013-12-21,57.54916369235078
522,2013-12-28,60.57806704457976
523,2014-01-04,57.54916369235078
524,2014-01-11,57.54916369235078
525,2014-01-18,58.30638953040802
526,2014-01-25,59.06361536846527
527,2014-02-01,57.54916369235078
528,2014-02-08,59.06361536846527
529,2014-02-15,57.54916369235078
530,2014-02-22,60.57806704457976
531,2014-03-01,61.335292882637006
532,2014-03-08,59.820841206522516
533,2014-03-15,57.54916369235078
534,2014-03-22,59.820841206522516
535,2014-03-29,56.03471201623628
536,2014-04-05,58.30638953040802
537,2014-04-12,61.335292882637006
538,2014-04-19,59.06361536846527
539,2014-04-26,62.849744558751496
540,2014-05-03,61.335292882637006
541,2014-05-10,62.09251872069426
542,2014-05-17,57.54916369235078
543,2014-05-24,57.54916369235078
544,2014-05-31,58.30638953040802
545,2014-06-07,59.06361536846527
546,2014-06-14,56.03471201623628
547,2014-06-21,59.820841206522516
548,2014-06-28,59.06361536846527
549,2014-07-05,59.820841206522516
550,2014-07-12,57.54916369235078
551,2014-07-19,61.335292882637006
552,2014-07-26,59.820841206522516
553,2014-08-02,62.09251872069426
554,2014-08-09,60.57806704457976
555,2014-08-16,60.57806704457976
556,2014-08-23,59.06361536846527
557,2014-08-30,59.820841206522516
558,2014-09-06,59.06361536846527
559,2014-09-13,61.335292882637006
