ds,vegan,vegetarian,plant_based_plus_plant_based,vegan_informative,vegetarian_informative,plant based_informative,vegan_behavior,vegetarian_behavior,plant based_behavior,behavior_bare,informative_bare,food
2010-10-23,8.0,14.060572101244237,0.2849864382717572,4.930756802676456,8.11698659390439,0.2849864382717572,3.069243197323545,5.943585507339846,0.0,1083.8577140968923,450.7893244861973,451.13300492610824
2010-10-30,9.0,15.079454137566286,0.2583377714183834,5.482248486515623,8.773057840365839,0.2583377714183834,3.5177515134843778,6.306396297200447,0.0,1071.0900861307532,462.71852574178183,463.0049261083743
2010-11-06,9.0,15.894559766623917,0.22604744883773822,5.475714565229023,9.235231095783243,0.22604744883773822,3.5242854347709773,6.659328670840674,0.0,1143.402604464096,474.7050070706848,474.8768472906403
2010-11-13,9.0,16.30211258115274,0.28905329144282366,4.773332911350479,9.612921708322649,0.28905329144282366,4.226667088649521,6.689190872830093,0.0,1166.026069084118,510.4926108374384,510.4926108374384
2010-11-20,11.0,18.13610024653242,0.23462458843597733,5.768271453234985,10.35827522638952,0.23462458843597733,5.231728546765015,7.777825020142899,0.0,1518.3686901943965,504.2129698063943,504.55665024630525
2010-11-27,8.0,13.041690064922191,0.2617318793186794,4.948873176796299,7.8535320662120665,0.2617318793186794,3.0511268232037008,5.188157998710125,0.0,1015.8754142227078,438.9746833772499,439.2610837438424
2010-12-04,9.0,13.245466472186601,0.20526974972629988,5.372328492556819,7.862708963888615,0.20526974972629988,3.627671507443181,5.382757508297987,0.0,1114.0385245006912,456.7252850773303,457.0689655172412
2010-12-11,9.0,13.449242879451008,0.18268793604399244,5.319273936241389,7.961010254493059,0.18268793604399244,3.6807260637586108,5.4882326249579485,0.0,1238.0660206040156,456.78256515064874,457.0689655172412
2010-12-18,10.0,15.690783359359514,0.2131741440537686,5.290012736977305,8.493994905539484,0.2131741440537686,4.709987263022695,7.196788453820029,0.0,1622.6678702126883,468.65448633291476,468.94088669950725
2010-12-25,9.0,18.13610024653242,0.2535981729765466,4.297012564905789,9.717608361741616,0.2535981729765466,4.702987435094211,8.418491884790802,0.0,1384.5857240004032,462.48940544850785,463.0049261083743
2011-01-01,9.0,18.95120587559006,0.303057965526892,4.256048574518771,10.253338088681023,0.303057965526892,4.743951425481229,8.697867786909036,0.0,1263.4174415966963,516.0276109153418,516.4285714285713
2011-01-08,9.0,16.709665395681558,0.38051191547215196,4.335292614878625,8.711337095687828,0.38051191547215196,4.664707385121375,7.998328299993729,0.0,1319.439357916897,504.1556897330758,504.55665024630525
2011-01-15,9.0,16.913441802945965,0.27550724138808363,4.282923091183988,9.136452855159344,0.27550724138808363,4.717076908816012,7.776988947786621,0.0,1347.864537986154,492.34104862412835,492.6847290640393
2011-01-22,10.0,15.894559766623917,0.375543005015651,5.704983589371795,8.995000321348156,0.375543005015651,4.295016410628205,6.899559445275761,0.0,1327.4300155705234,516.0276109153418,516.4285714285713
2011-01-29,12.0,16.30211258115274,0.6131030773225961,6.577265370844322,8.36716326711592,0.6131030773225961,5.422734629155678,7.934949314036822,0.0,1325.9514747222452,545.6501337976886,546.1083743842365
2011-02-05,11.0,17.320994617474785,0.3339876067927743,6.073504968770468,10.16050833079008,0.3339876067927743,4.926495031229532,7.160486286684706,0.0,1308.3619669526352,504.2129698063943,504.55665024630525
2011-02-12,10.0,14.468124915773055,0.3443840517351045,5.428353480397088,7.682306537694534,0.3443840517351045,4.571646519602912,6.785818378078521,0.0,1337.44426657235,492.22648847749133,492.6847290640393
2011-02-19,9.0,15.079454137566286,0.37711780757185587,4.700087733941616,8.651859907987014,0.37711780757185587,4.299912266058384,6.427594229579271,0.0,1206.4377436521474,509.97709017757194,510.4926108374384
2011-02-26,10.0,14.060572101244237,0.368769979988281,5.604366931982103,7.509777231259899,0.368769979988281,4.395633068017897,6.550794869984338,0.0,1183.768968675485,515.9130507687049,516.4285714285713
2011-03-05,11.0,14.671901323037464,0.3814139727575865,6.093143251382627,7.563300797478645,0.3814139727575865,4.906856748617373,7.108600525558819,0.0,1208.668600683022,533.6636524687854,534.2364532019703
2011-03-12,10.0,15.690783359359514,0.4256755428367668,5.466833162283515,8.642998067512874,0.4256755428367668,4.533166837716485,7.04778529184664,0.0,1216.134719266788,480.29728722190686,480.8128078817733
2011-03-19,10.0,16.30211258115274,0.4873207041270894,5.037828506833694,9.689436383183933,0.4873207041270894,4.962171493166306,6.612676197968808,0.0,1173.8376354849065,521.849011359838,522.3645320197044
2011-03-26,11.0,19.15498228285447,0.40309372915445935,6.306475883953395,12.380326629185841,0.40309372915445935,4.693524116046605,6.774655653668628,0.0,1187.1636194405214,521.9635715064749,522.3645320197044
2011-04-02,11.0,15.690783359359514,0.48461453227078577,6.148564779687365,9.18430695468918,0.48461453227078577,4.851435220312635,6.506476404670335,0.0,1136.8565517791064,492.11192833085437,492.6847290640393
2011-04-09,11.0,16.505888988417148,0.4699371129159471,6.507736288907794,9.737237274121703,0.4699371129159471,4.492263711092206,6.768651714295443,0.0,1139.6826611212114,504.0411295864388,504.55665024630525
2011-04-16,11.0,17.728547432003605,0.42680691213686545,6.022308188474759,10.55701356263797,0.42680691213686545,4.977691811525241,7.1715338693656365,0.0,1328.1203678461818,509.9198101042535,510.4926108374384
2011-04-23,9.0,13.653019286715418,0.7766033075845772,4.953784224511063,8.087905710990675,0.7766033075845772,4.046215775488937,5.565113575724743,0.0,1095.4028987612398,486.2905278863584,486.74876847290636
2011-04-30,10.0,14.671901323037464,0.3168333275962962,6.028287395833867,8.79393266415339,0.3168333275962962,3.9717126041661333,5.877968658884074,0.0,1217.6079475024007,515.8557706953864,516.4285714285713
2011-05-07,10.0,14.264348508508645,0.49251892659825447,6.08176044598199,8.270399984246536,0.49251892659825447,3.91823955401801,5.993948524262109,0.0,1168.5303128062765,539.7141732065554,540.1724137931034
2011-05-14,9.0,14.264348508508645,0.5123945684242582,4.985708100376105,8.069753174506666,0.5123945684242582,4.014291899623895,6.1945953340019795,0.0,1168.366165195909,527.784971950971,528.3004926108374
