,Search Term,what the health
254,2021-10-09,2.1294964028776975
255,2021-10-16,2.661870503597122
256,2021-10-23,2.39568345323741
257,2021-10-30,3.7266187050359707
258,2021-11-06,2.7949640287769784
259,2021-11-13,2.5953237410071943
260,2021-11-20,2.329136690647482
261,2021-11-27,2.5953237410071943
262,2021-12-04,2.39568345323741
263,2021-12-11,2.1294964028776975
264,2021-12-18,1.9298561151079137
265,2021-12-25,2.462230215827338
266,2022-01-01,3.393884892086331
267,2022-01-08,3.260791366906475
268,2022-01-15,2.9946043165467624
269,2022-01-22,2.8615107913669067
270,2022-01-29,2.9280575539568345
271,2022-02-05,2.8615107913669067
272,2022-02-12,2.7284172661870505
273,2022-02-19,2.5953237410071943
274,2022-02-26,2.262589928057554
275,2022-03-05,2.5287769784172665
276,2022-03-12,2.329136690647482
277,2022-03-19,2.329136690647482
278,2022-03-26,2.5953237410071943
279,2022-04-02,2.661870503597122
280,2022-04-09,2.39568345323741
281,2022-04-16,2.5953237410071943
282,2022-04-23,2.329136690647482
283,2022-04-30,2.39568345323741
284,2022-05-07,2.0629496402877696
285,2022-05-14,2.262589928057554
286,2022-05-21,2.329136690647482
287,2022-05-28,2.0629496402877696
288,2022-06-04,2.262589928057554
289,2022-06-11,2.0629496402877696
290,2022-06-18,2.196043165467626
291,2022-06-25,2.196043165467626
292,2022-07-02,2.462230215827338
293,2022-07-09,2.1294964028776975
294,2022-07-16,2.0629496402877696
295,2022-07-23,2.196043165467626
296,2022-07-30,2.196043165467626
297,2022-08-06,1.8633093525179854
298,2022-08-13,1.9298561151079137
299,2022-08-20,2.0629496402877696
300,2022-08-27,1.9298561151079137
301,2022-09-03,1.7967625899280575
302,2022-09-10,1.6636690647482015
303,2022-09-17,1.7967625899280575
304,2022-09-24,1.9298561151079137
305,2022-10-01,1.8633093525179854
306,2022-10-08,1.6636690647482015
307,2022-10-15,1.8633093525179854
308,2022-10-22,2.1294964028776975
309,2022-10-29,1.8633093525179854
310,2022-11-05,1.7967625899280575
311,2022-11-12,1.9298561151079137
312,2022-11-19,1.7302158273381294
313,2022-11-26,1.6636690647482015
314,2022-12-03,1.7302158273381294
315,2022-12-10,1.7302158273381294
