,Search Term,forks over knives
267,2014-01-11,32.67764705882353
268,2014-01-18,32.09411764705882
269,2014-01-25,31.51058823529412
270,2014-02-01,28.00941176470588
271,2014-02-08,28.00941176470588
272,2014-02-15,28.59294117647059
273,2014-02-22,29.76
274,2014-03-01,29.76
275,2014-03-08,28.59294117647059
276,2014-03-15,28.59294117647059
277,2014-03-22,28.59294117647059
278,2014-03-29,29.76
279,2014-04-05,25.09176470588235
280,2014-04-12,26.842352941176472
281,2014-04-19,26.842352941176472
282,2014-04-26,29.76
283,2014-05-03,28.59294117647059
284,2014-05-10,26.842352941176472
285,2014-05-17,25.675294117647063
286,2014-05-24,23.924705882352946
287,2014-05-31,23.924705882352946
288,2014-06-07,23.341176470588234
289,2014-06-14,21.59058823529412
290,2014-06-21,22.17411764705882
291,2014-06-28,21.007058823529416
292,2014-07-05,24.508235294117647
293,2014-07-12,24.508235294117647
294,2014-07-19,26.258823529411764
295,2014-07-26,44.93176470588235
296,2014-08-02,28.00941176470588
297,2014-08-09,26.258823529411764
298,2014-08-16,28.59294117647059
299,2014-08-23,24.508235294117647
300,2014-08-30,26.842352941176472
301,2014-09-06,25.09176470588235
302,2014-09-13,28.59294117647059
303,2014-09-20,26.258823529411764
304,2014-09-27,24.508235294117647
305,2014-10-04,25.09176470588235
306,2014-10-11,25.09176470588235
307,2014-10-18,22.17411764705882
308,2014-10-25,26.258823529411764
309,2014-11-01,26.842352941176472
310,2014-11-08,27.425882352941176
311,2014-11-15,27.425882352941176
312,2014-11-22,22.75764705882353
313,2014-11-29,21.007058823529416
314,2014-12-06,22.17411764705882
315,2014-12-13,21.007058823529416
316,2014-12-20,20.423529411764708
317,2014-12-27,31.51058823529412
318,2015-01-03,31.51058823529412
319,2015-01-10,28.59294117647059
320,2015-01-17,32.67764705882353
321,2015-01-24,28.00941176470588
322,2015-01-31,28.59294117647059
323,2015-02-07,23.341176470588234
324,2015-02-14,27.425882352941176
325,2015-02-21,22.75764705882353
326,2015-02-28,21.59058823529412
327,2015-03-07,25.09176470588235
328,2015-03-14,23.924705882352946
329,2015-03-21,25.675294117647063
330,2015-03-28,24.508235294117647
331,2015-04-04,23.341176470588234
332,2015-04-11,23.341176470588234
333,2015-04-18,26.258823529411764
334,2015-04-25,24.508235294117647
335,2015-05-02,21.007058823529416
336,2015-05-09,24.508235294117647
337,2015-05-16,23.924705882352946
338,2015-05-23,24.508235294117647
339,2015-05-30,25.675294117647063
340,2015-06-06,23.341176470588234
341,2015-06-13,22.75764705882353
342,2015-06-20,22.17411764705882
343,2015-06-27,23.341176470588234
344,2015-07-04,26.258823529411764
345,2015-07-11,25.675294117647063
346,2015-07-18,29.76
347,2015-07-25,23.924705882352946
348,2015-08-01,26.258823529411764
349,2015-08-08,26.258823529411764
350,2015-08-15,25.09176470588235
351,2015-08-22,25.09176470588235
352,2015-08-29,22.75764705882353
353,2015-09-05,23.924705882352946
354,2015-09-12,25.09176470588235
355,2015-09-19,25.09176470588235
356,2015-09-26,26.842352941176472
357,2015-10-03,26.258823529411764
358,2015-10-10,32.09411764705882
359,2015-10-17,27.425882352941176
360,2015-10-24,31.51058823529412
361,2015-10-31,26.842352941176472
362,2015-11-07,23.341176470588234
363,2015-11-14,22.75764705882353
364,2015-11-21,21.007058823529416
365,2015-11-28,22.17411764705882
366,2015-12-05,23.341176470588234
367,2015-12-12,20.423529411764708
368,2015-12-19,21.59058823529412
369,2015-12-26,29.176470588235297
370,2016-01-02,29.76
371,2016-01-09,25.675294117647063
372,2016-01-16,25.09176470588235
373,2016-01-23,23.924705882352946
374,2016-01-30,24.508235294117647
375,2016-02-06,23.341176470588234
376,2016-02-13,22.17411764705882
377,2016-02-20,24.508235294117647
378,2016-02-27,24.508235294117647
379,2016-03-05,25.09176470588235
380,2016-03-12,22.75764705882353
381,2016-03-19,26.842352941176472
382,2016-03-26,25.675294117647063
383,2016-04-02,28.00941176470588
384,2016-04-09,24.508235294117647
385,2016-04-16,23.924705882352946
386,2016-04-23,22.75764705882353
387,2016-04-30,23.924705882352946
388,2016-05-07,19.840000000000003
389,2016-05-14,22.75764705882353
390,2016-05-21,21.59058823529412
391,2016-05-28,21.59058823529412
392,2016-06-04,20.423529411764708
393,2016-06-11,18.67294117647059
394,2016-06-18,18.67294117647059
395,2016-06-25,17.50588235294118
396,2016-07-02,19.840000000000003
397,2016-07-09,21.007058823529416
398,2016-07-16,23.924705882352946
399,2016-07-23,22.17411764705882
400,2016-07-30,21.007058823529416
401,2016-08-06,19.256470588235295
402,2016-08-13,18.67294117647059
403,2016-08-20,19.840000000000003
404,2016-08-27,19.256470588235295
405,2016-09-03,23.341176470588234
406,2016-09-10,19.840000000000003
407,2016-09-17,23.341176470588234
408,2016-09-24,21.007058823529416
409,2016-10-01,18.67294117647059
410,2016-10-08,19.840000000000003
411,2016-10-15,19.256470588235295
412,2016-10-22,19.256470588235295
413,2016-10-29,21.007058823529416
414,2016-11-05,19.256470588235295
415,2016-11-12,21.007058823529416
416,2016-11-19,22.17411764705882
417,2016-11-26,20.917571884984028
418,2016-12-03,22.81916932907349
419,2016-12-10,20.917571884984028
420,2016-12-17,21.392971246006393
421,2016-12-24,25.67156549520767
422,2016-12-31,37.08115015974441
423,2017-01-07,30.900958466453677
424,2017-01-14,29.474760383386588
425,2017-01-21,29.474760383386588
426,2017-01-28,27.097763578274765
427,2017-02-04,28.523961661341858
428,2017-02-11,26.14696485623004
429,2017-02-18,28.04856230031949
430,2017-02-25,28.999361022364216
431,2017-03-04,28.04856230031949
432,2017-03-11,28.04856230031949
433,2017-03-18,27.57316293929713
434,2017-03-25,28.04856230031949
435,2017-04-01,27.57316293929713
436,2017-04-08,28.523961661341858
437,2017-04-15,25.67156549520767
438,2017-04-22,27.097763578274765
439,2017-04-29,25.67156549520767
440,2017-05-06,24.720766773162943
441,2017-05-13,23.769968051118212
442,2017-05-20,22.81916932907349
443,2017-05-27,22.343769968051124
444,2017-06-03,26.622364217252397
445,2017-06-10,24.245367412140574
446,2017-06-17,28.523961661341858
447,2017-06-24,30.900958466453677
448,2017-07-01,31.851757188498407
449,2017-07-08,39.9335463258786
450,2017-07-15,37.08115015974441
451,2017-07-22,41.835143769968056
452,2017-07-29,40.40894568690096
453,2017-08-05,36.605750798722056
454,2017-08-12,32.32715654952077
455,2017-08-19,31.851757188498407
456,2017-08-26,30.425559105431315
457,2017-09-02,29.95015974440895
458,2017-09-09,27.57316293929713
459,2017-09-16,27.57316293929713
460,2017-09-23,27.57316293929713
461,2017-09-30,26.622364217252397
462,2017-10-07,28.523961661341858
463,2017-10-14,28.523961661341858
