,Search Term,vegan recipe
164,2007-02-17,15.583616835462397
165,2007-02-24,14.085192139744859
166,2007-03-03,14.384877078888367
167,2007-03-10,13.785507200601351
168,2007-03-17,12.886452383170829
169,2007-03-24,13.485822261457841
170,2007-03-31,14.984246957175381
171,2007-04-07,12.58676744402732
172,2007-04-14,11.088342748309783
173,2007-04-21,14.085192139744859
174,2007-04-28,12.886452383170829
175,2007-05-05,11.687712626596797
176,2007-05-12,14.085192139744859
177,2007-05-19,13.785507200601351
178,2007-05-26,11.687712626596797
179,2007-06-02,13.485822261457841
180,2007-06-09,12.886452383170829
181,2007-06-16,12.58676744402732
182,2007-06-23,13.485822261457841
183,2007-06-30,13.485822261457841
184,2007-07-07,14.984246957175381
185,2007-07-14,15.583616835462397
186,2007-07-21,14.384877078888367
187,2007-07-28,12.886452383170829
