,Search Term,plant based restaurant
329,2023-03-18,55.00000000000001
330,2023-03-25,50.0
331,2023-04-01,59.0
332,2023-04-08,55.00000000000001
333,2023-04-15,61.0
334,2023-04-22,47.0
335,2023-04-29,56.00000000000001
336,2023-05-06,53.0
337,2023-05-13,49.0
338,2023-05-20,47.0
339,2023-05-27,53.0
340,2023-06-03,52.0
341,2023-06-10,48.0
342,2023-06-17,50.0
343,2023-06-24,40.0
344,2023-07-01,65.0
345,2023-07-08,49.0
346,2023-07-15,38.0
347,2023-07-22,60.0
348,2023-07-29,38.0
349,2023-08-05,75.0
350,2023-08-12,53.0
351,2023-08-19,45.0
352,2023-08-26,34.0
353,2023-09-02,43.0
354,2023-09-09,45.0
355,2023-09-16,50.0
356,2023-09-23,46.0
357,2023-09-30,54.0
358,2023-10-07,42.0
359,2023-10-14,50.0
360,2023-10-21,41.0
361,2023-10-28,42.0
362,2023-11-04,49.0
363,2023-11-11,42.0
364,2023-11-18,45.0
365,2023-11-25,40.0
366,2023-12-02,38.0
367,2023-12-09,34.0
368,2023-12-16,40.0
369,2023-12-23,34.0
370,2023-12-30,76.0
371,2024-01-06,100.0
372,2024-01-13,76.0
373,2024-01-20,46.0
374,2024-01-27,64.0
375,2024-02-03,52.0
376,2024-02-10,56.00000000000001
377,2024-02-17,65.0
378,2024-02-24,67.0
379,2024-03-02,52.0
380,2024-03-09,42.0
381,2024-03-16,61.0
382,2024-03-23,46.0
383,2024-03-30,49.0
384,2024-04-06,44.0
385,2024-04-13,59.0
386,2024-04-20,45.0
387,2024-04-27,37.0
388,2024-05-04,45.0
389,2024-05-11,38.0
390,2024-05-18,53.0
391,2024-05-25,43.0
