,Search Term,plant based restaurants
174,2020-03-28,12.0
175,2020-04-04,13.0
176,2020-04-11,11.0
177,2020-04-18,15.0
178,2020-04-25,24.0
179,2020-05-02,22.0
180,2020-05-09,28.999999999999996
181,2020-05-16,32.0
182,2020-05-23,21.0
183,2020-05-30,23.0
184,2020-06-06,28.000000000000004
185,2020-06-13,31.0
186,2020-06-20,37.0
187,2020-06-27,26.0
188,2020-07-04,24.0
189,2020-07-11,37.0
190,2020-07-18,38.0
191,2020-07-25,39.0
192,2020-08-01,47.0
193,2020-08-08,41.0
194,2020-08-15,34.0
195,2020-08-22,39.0
196,2020-08-29,42.0
197,2020-09-05,43.0
198,2020-09-12,40.0
199,2020-09-19,39.0
200,2020-09-26,36.0
201,2020-10-03,31.0
202,2020-10-10,30.0
203,2020-10-17,23.0
