,Search Term,vegetarian near me
165,2016-01-23,11.264646464646464
166,2016-01-30,11.264646464646464
167,2016-02-06,12.63838383838384
168,2016-02-13,15.66060606060606
169,2016-02-20,13.462626262626262
170,2016-02-27,14.012121212121212
171,2016-03-05,13.462626262626262
172,2016-03-12,13.737373737373737
173,2016-03-19,15.66060606060606
174,2016-03-26,14.012121212121212
175,2016-04-02,14.012121212121212
176,2016-04-09,13.737373737373737
177,2016-04-16,14.286868686868686
178,2016-04-23,15.935353535353535
179,2016-04-30,15.935353535353535
180,2016-05-07,17.30909090909091
181,2016-05-14,16.21010101010101
182,2016-05-21,18.133333333333333
183,2016-05-28,19.232323232323235
184,2016-06-04,15.935353535353535
185,2016-06-11,18.40808080808081
186,2016-06-18,20.05656565656566
187,2016-06-25,20.880808080808084
188,2016-07-02,21.979797979797983
189,2016-07-09,21.430303030303033
190,2016-07-16,23.353535353535356
191,2016-07-23,22.804040404040403
192,2016-07-30,22.804040404040403
193,2016-08-06,20.331313131313134
194,2016-08-13,18.682828282828286
195,2016-08-20,21.979797979797983
196,2016-08-27,20.60606060606061
197,2016-09-03,20.880808080808084
198,2016-09-10,20.60606060606061
199,2016-09-17,18.682828282828286
200,2016-09-24,20.331313131313134
201,2016-10-01,20.05656565656566
202,2016-10-08,20.331313131313134
203,2016-10-15,20.60606060606061
204,2016-10-22,20.60606060606061
205,2016-10-29,20.60606060606061
206,2016-11-05,18.95757575757576
207,2016-11-12,20.05656565656566
208,2016-11-19,18.682828282828286
209,2016-11-26,18.000000000000004
210,2016-12-03,20.0
211,2016-12-10,20.0
212,2016-12-17,24.000000000000004
213,2016-12-24,26.0
214,2016-12-31,28.000000000000004
215,2017-01-07,23.000000000000004
216,2017-01-14,24.000000000000004
217,2017-01-21,22.0
218,2017-01-28,23.000000000000004
219,2017-02-04,21.0
220,2017-02-11,26.0
221,2017-02-18,25.0
222,2017-02-25,26.0
223,2017-03-04,26.0
224,2017-03-11,24.000000000000004
225,2017-03-18,28.999999999999996
226,2017-03-25,28.000000000000004
227,2017-04-01,28.999999999999996
228,2017-04-08,31.000000000000007
229,2017-04-15,27.0
230,2017-04-22,27.0
231,2017-04-29,27.0
232,2017-05-06,28.999999999999996
233,2017-05-13,30.000000000000004
234,2017-05-20,32.0
235,2017-05-27,36.00000000000001
236,2017-06-03,31.000000000000007
237,2017-06-10,32.0
238,2017-06-17,36.00000000000001
239,2017-06-24,43.00000000000001
240,2017-07-01,42.0
241,2017-07-08,41.0
242,2017-07-15,43.00000000000001
243,2017-07-22,41.0
244,2017-07-29,44.0
245,2017-08-05,43.00000000000001
246,2017-08-12,46.00000000000001
247,2017-08-19,47.0
248,2017-08-26,48.00000000000001
249,2017-09-02,48.00000000000001
250,2017-09-09,47.0
251,2017-09-16,53.0
252,2017-09-23,53.0
253,2017-09-30,45.0
254,2017-10-07,48.00000000000001
255,2017-10-14,44.0
256,2017-10-21,43.00000000000001
257,2017-10-28,41.0
258,2017-11-04,40.0
259,2017-11-11,38.00000000000001
260,2017-11-18,38.00000000000001
261,2017-11-25,36.00000000000001
262,2017-12-02,36.00000000000001
263,2017-12-09,36.00000000000001
264,2017-12-16,39.0
265,2017-12-23,48.00000000000001
266,2017-12-30,48.00000000000001
267,2018-01-06,43.00000000000001
268,2018-01-13,43.00000000000001
269,2018-01-20,48.00000000000001
270,2018-01-27,47.0
271,2018-02-03,41.0
272,2018-02-10,52.0
273,2018-02-17,51.0
274,2018-02-24,43.00000000000001
275,2018-03-03,48.00000000000001
276,2018-03-10,49.0
277,2018-03-17,50.0
278,2018-03-24,56.00000000000001
279,2018-03-31,48.00000000000001
280,2018-04-07,43.00000000000001
281,2018-04-14,42.0
282,2018-04-21,43.00000000000001
283,2018-04-28,46.00000000000001
284,2018-05-05,45.0
285,2018-05-12,47.0
286,2018-05-19,49.0
287,2018-05-26,52.0
288,2018-06-02,53.0
289,2018-06-09,55.00000000000001
290,2018-06-16,56.00000000000001
291,2018-06-23,52.0
292,2018-06-30,56.00000000000001
293,2018-07-07,59.00000000000001
294,2018-07-14,56.00000000000001
295,2018-07-21,60.00000000000001
296,2018-07-28,61.0
297,2018-08-04,63.0
298,2018-08-11,61.0
299,2018-08-18,55.00000000000001
300,2018-08-25,55.00000000000001
301,2018-09-01,56.00000000000001
302,2018-09-08,51.0
303,2018-09-15,53.0
304,2018-09-22,53.0
305,2018-09-29,54.0
306,2018-10-06,56.00000000000001
307,2018-10-13,62.000000000000014
308,2018-10-20,52.0
309,2018-10-27,48.00000000000001
310,2018-11-03,51.0
311,2018-11-10,49.0
312,2018-11-17,49.0
313,2018-11-24,48.00000000000001
314,2018-12-01,46.00000000000001
315,2018-12-08,48.00000000000001
316,2018-12-15,53.0
317,2018-12-22,69.0
318,2018-12-29,66.0
319,2019-01-05,53.0
320,2019-01-12,53.0
321,2019-01-19,50.0
322,2019-01-26,48.00000000000001
323,2019-02-02,52.0
324,2019-02-09,50.0
325,2019-02-16,56.00000000000001
326,2019-02-23,50.0
327,2019-03-02,60.00000000000001
328,2019-03-09,56.00000000000001
329,2019-03-16,57.99999999999999
330,2019-03-23,62.000000000000014
331,2019-03-30,63.0
332,2019-04-06,62.000000000000014
333,2019-04-13,67.0
334,2019-04-20,60.00000000000001
335,2019-04-27,56.00000000000001
336,2019-05-04,61.0
337,2019-05-11,62.000000000000014
338,2019-05-18,67.0
339,2019-05-25,63.0
340,2019-06-01,69.0
341,2019-06-08,67.0
342,2019-06-15,69.0
343,2019-06-22,67.0
344,2019-06-29,76.00000000000001
345,2019-07-06,70.0
346,2019-07-13,74.0
347,2019-07-20,75.0
348,2019-07-27,76.00000000000001
349,2019-08-03,70.0
350,2019-08-10,74.0
351,2019-08-17,70.0
352,2019-08-24,66.0
353,2019-08-31,65.0
354,2019-09-07,66.0
355,2019-09-14,66.0
356,2019-09-21,66.0
357,2019-09-28,76.00000000000001
358,2019-10-05,69.0
359,2019-10-12,70.0
360,2019-10-19,62.000000000000014
361,2019-10-26,73.00000000000001
362,2019-11-02,70.0
363,2019-11-09,70.0
364,2019-11-16,71.0
365,2019-11-23,70.0
366,2019-11-30,63.0
367,2019-12-07,64.0
368,2019-12-14,68.0
369,2019-12-21,73.00000000000001
370,2019-12-28,100.0
371,2020-01-04,71.0
372,2020-01-11,73.00000000000001
373,2020-01-18,75.0
374,2020-01-25,67.53267326732673
375,2020-02-01,62.87524752475247
376,2020-02-08,67.53267326732673
377,2020-02-15,67.53267326732673
378,2020-02-22,65.20396039603959
379,2020-02-29,61.32277227722772
380,2020-03-07,50.45544554455446
381,2020-03-14,22.51089108910891
382,2020-03-21,14.748514851485147
383,2020-03-28,13.97227722772277
384,2020-04-04,16.300990099009898
385,2020-04-11,15.524752475247524
386,2020-04-18,17.077227722772275
387,2020-04-25,17.85346534653465
388,2020-05-02,22.51089108910891
389,2020-05-09,28.720792079207918
390,2020-05-16,31.04950495049505
391,2020-05-23,30.27326732673267
392,2020-05-30,33.37821782178217
393,2020-06-06,35.7069306930693
394,2020-06-13,36.48316831683168
395,2020-06-20,45.02178217821782
396,2020-06-27,43.469306930693065
397,2020-07-04,46.57425742574257
398,2020-07-11,43.469306930693065
399,2020-07-18,48.12673267326733
400,2020-07-25,48.9029702970297
401,2020-08-01,54.33663366336633
402,2020-08-08,53.56039603960395
403,2020-08-15,55.112871287128705
404,2020-08-22,49.679207920792074
405,2020-08-29,56.66534653465346
406,2020-09-05,52.0079207920792
407,2020-09-12,53.56039603960395
408,2020-09-19,53.56039603960395
409,2020-09-26,53.56039603960395
410,2020-10-03,48.9029702970297
411,2020-10-10,48.12673267326733
412,2020-10-17,52.0079207920792
413,2020-10-24,45.02178217821782
414,2020-10-31,41.91683168316832
415,2020-11-07,38.035643564356434
416,2020-11-14,43.469306930693065
417,2020-11-21,37.25940594059406
418,2020-11-28,38.81188118811881
419,2020-12-05,41.91683168316832
420,2020-12-12,44.24554455445544
421,2020-12-19,47.35049504950495
422,2020-12-26,58.21782178217821
423,2021-01-02,48.9029702970297
424,2021-01-09,47.35049504950495
425,2021-01-16,46.57425742574257
426,2021-01-23,45.02178217821782
427,2021-01-30,43.469306930693065
428,2021-02-06,48.9029702970297
429,2021-02-13,52.0079207920792
430,2021-02-20,54.33663366336633
431,2021-02-27,55.88910891089108
432,2021-03-06,58.21782178217821
433,2021-03-13,59.77029702970297
434,2021-03-20,61.32277227722772
435,2021-03-27,70.63762376237624
436,2021-04-03,58.99405940594059
437,2021-04-10,58.21782178217821
438,2021-04-17,49.679207920792074
439,2021-04-24,49.679207920792074
440,2021-05-01,52.0079207920792
441,2021-05-08,55.88910891089108
442,2021-05-15,46.57425742574257
443,2021-05-22,56.66534653465346
444,2021-05-29,61.32277227722772
445,2021-06-05,58.21782178217821
446,2021-06-12,63.651485148514844
447,2021-06-19,65.98019801980197
448,2021-06-26,65.20396039603959
449,2021-07-03,71.4138613861386
450,2021-07-10,70.63762376237624
451,2021-07-17,77.62376237623762
452,2021-07-24,71.4138613861386
453,2021-07-31,72.19009900990099
454,2021-08-07,76.07128712871287
455,2021-08-14,71.4138613861386
456,2021-08-21,64.42772277227722
457,2021-08-28,61.32277227722772
458,2021-09-04,62.87524752475247
459,2021-09-11,61.32277227722772
460,2021-09-18,62.87524752475247
461,2021-09-25,59.77029702970297
462,2021-10-02,66.75643564356434
463,2021-10-09,69.08514851485148
464,2021-10-16,61.32277227722772
465,2021-10-23,58.99405940594059
466,2021-10-30,62.0990099009901
467,2021-11-06,62.0990099009901
468,2021-11-13,62.87524752475247
469,2021-11-20,61.32277227722772
470,2021-11-27,60.54653465346534
471,2021-12-04,62.0990099009901
472,2021-12-11,61.32277227722772
473,2021-12-18,69.86138613861385
474,2021-12-25,75.29504950495048
475,2022-01-01,55.112871287128705
476,2022-01-08,53.56039603960395
477,2022-01-15,51.231683168316835
478,2022-01-22,47.35049504950495
479,2022-01-29,52.0079207920792
480,2022-02-05,51.231683168316835
481,2022-02-12,59.77029702970297
482,2022-02-19,55.88910891089108
483,2022-02-26,62.0990099009901
484,2022-03-05,58.99405940594059
485,2022-03-12,61.32277227722772
486,2022-03-19,63.651485148514844
487,2022-03-26,58.99405940594059
488,2022-04-02,62.0990099009901
489,2022-04-09,76.07128712871287
490,2022-04-16,62.0990099009901
491,2022-04-23,57.441584158415836
492,2022-04-30,62.0990099009901
