,Search Term,vegan restaurant near me
434,2021-03-20,70.5621521335807
435,2021-03-27,77.32838589981446
436,2021-04-03,72.49536178107606
437,2021-04-10,65.7291280148423
438,2021-04-17,69.59554730983302
439,2021-04-24,63.795918367346935
440,2021-05-01,64.76252319109463
441,2021-05-08,70.5621521335807
442,2021-05-15,76.36178107606679
443,2021-05-22,76.36178107606679
444,2021-05-29,75.3951762523191
445,2021-06-05,78.29499072356215
446,2021-06-12,89.89424860853433
447,2021-06-19,89.89424860853433
448,2021-06-26,85.06122448979592
449,2021-07-03,88.92764378478664
450,2021-07-10,91.82745825602969
451,2021-07-17,89.89424860853433
452,2021-07-24,80.22820037105751
453,2021-07-31,79.26159554730982
454,2021-08-07,83.12801484230056
455,2021-08-14,87.96103896103897
456,2021-08-21,76.36178107606679
457,2021-08-28,78.29499072356215
458,2021-09-04,76.36178107606679
459,2021-09-11,76.36178107606679
460,2021-09-18,76.36178107606679
461,2021-09-25,67.66233766233766
462,2021-10-02,69.59554730983302
463,2021-10-09,59.929499072356215
464,2021-10-16,73.46196660482374
465,2021-10-23,66.69573283858998
466,2021-10-30,68.62894248608534
467,2021-11-06,71.52875695732838
468,2021-11-13,64.76252319109463
469,2021-11-20,63.795918367346935
470,2021-11-27,62.829313543599255
471,2021-12-04,72.49536178107606
472,2021-12-11,67.66233766233766
473,2021-12-18,75.3951762523191
474,2021-12-25,81.1948051948052
475,2022-01-01,62.829313543599255
476,2022-01-08,62.829313543599255
477,2022-01-15,59.929499072356215
478,2022-01-22,60.896103896103895
479,2022-01-29,62.829313543599255
480,2022-02-05,62.829313543599255
481,2022-02-12,73.46196660482374
482,2022-02-19,68.62894248608534
483,2022-02-26,65.7291280148423
484,2022-03-05,62.829313543599255
485,2022-03-12,73.46196660482374
486,2022-03-19,76.36178107606679
487,2022-03-26,65.7291280148423
488,2022-04-02,72.49536178107606
489,2022-04-09,74.42857142857143
490,2022-04-16,61.862708719851575
491,2022-04-23,67.66233766233766
492,2022-04-30,71.52875695732838
493,2022-05-07,68.62894248608534
494,2022-05-14,54.12987012987013
495,2022-05-21,62.829313543599255
496,2022-05-28,62.829313543599255
497,2022-06-04,62.829313543599255
498,2022-06-11,64.76252319109463
499,2022-06-18,67.66233766233766
500,2022-06-25,71.52875695732838
501,2022-07-02,69.59554730983302
502,2022-07-09,64.76252319109463
503,2022-07-16,64.76252319109463
504,2022-07-23,65.7291280148423
505,2022-07-30,64.76252319109463
506,2022-08-06,67.66233766233766
507,2022-08-13,62.829313543599255
508,2022-08-20,69.59554730983302
509,2022-08-27,63.795918367346935
510,2022-09-03,57.99628942486085
511,2022-09-10,55.096474953617815
512,2022-09-17,55.096474953617815
513,2022-09-24,54.12987012987013
514,2022-10-01,59.929499072356215
515,2022-10-08,59.929499072356215
516,2022-10-15,49.29684601113172
517,2022-10-22,55.096474953617815
518,2022-10-29,51.23005565862708
519,2022-11-05,55.096474953617815
520,2022-11-12,52.19666048237477
521,2022-11-19,42.53061224489796
522,2022-11-26,41.56400742115028
523,2022-12-03,50.26345083487941
524,2022-12-10,52.19666048237477
525,2022-12-17,53.163265306122454
526,2022-12-24,59.929499072356215
527,2022-12-31,63.795918367346935
528,2023-01-07,57.99628942486085
529,2023-01-14,56.06307977736549
530,2023-01-21,60.896103896103895
531,2023-01-28,56.06307977736549
532,2023-02-04,52.19666048237477
533,2023-02-11,62.829313543599255
534,2023-02-18,61.862708719851575
535,2023-02-25,54.12987012987013
536,2023-03-04,59.929499072356215
537,2023-03-11,54.12987012987013
538,2023-03-18,58.962894248608535
539,2023-03-25,54.12987012987013
540,2023-04-01,61.862708719851575
541,2023-04-08,59.929499072356215
542,2023-04-15,55.096474953617815
543,2023-04-22,53.163265306122454
544,2023-04-29,57.99628942486085
545,2023-05-06,53.163265306122454
546,2023-05-13,53.163265306122454
547,2023-05-20,57.99628942486085
548,2023-05-27,60.896103896103895
549,2023-06-03,51.23005565862708
550,2023-06-10,57.99628942486085
551,2023-06-17,57.99628942486085
552,2023-06-24,58.962894248608535
553,2023-07-01,58.962894248608535
554,2023-07-08,57.029684601113175
555,2023-07-15,57.99628942486085
556,2023-07-22,59.929499072356215
557,2023-07-29,50.26345083487941
558,2023-08-05,57.029684601113175
559,2023-08-12,58.962894248608535
560,2023-08-19,53.163265306122454
561,2023-08-26,50.26345083487941
562,2023-09-02,55.096474953617815
563,2023-09-09,38.66419294990723
564,2023-09-16,46.39703153988869
565,2023-09-23,44.46382189239332
566,2023-09-30,45.43042671614101
567,2023-10-07,50.26345083487941
568,2023-10-14,43.49721706864564
569,2023-10-21,46.39703153988869
570,2023-10-28,44.46382189239332
571,2023-11-04,43.49721706864564
572,2023-11-11,41.56400742115028
573,2023-11-18,41.56400742115028
574,2023-11-25,35.76437847866419
575,2023-12-02,43.49721706864564
576,2023-12-09,36.73098330241187
577,2023-12-16,41.56400742115028
578,2023-12-23,44.46382189239332
579,2023-12-30,57.029684601113175
580,2024-01-06,41.56400742115028
581,2024-01-13,50.26345083487941
582,2024-01-20,39.63079777365491
583,2024-01-27,42.53061224489796
584,2024-02-03,40.5974025974026
585,2024-02-10,51.23005565862708
586,2024-02-17,45.43042671614101
587,2024-02-24,35.76437847866419
588,2024-03-02,40.5974025974026
589,2024-03-09,39.63079777365491
590,2024-03-16,42.53061224489796
591,2024-03-23,50.26345083487941
592,2024-03-30,42.53061224489796
593,2024-04-06,48.33024118738404
594,2024-04-13,37.69758812615955
595,2024-04-20,40.5974025974026
596,2024-04-27,38.66419294990723
597,2024-05-04,39.63079777365491
598,2024-05-11,34.79777365491651
599,2024-05-18,44.46382189239332
600,2024-05-25,41.56400742115028
