,Search Term,vegetarian restaurant
164,2007-02-17,67.33602703149613
165,2007-02-24,47.965389118326016
166,2007-03-03,57.18950241031179
167,2007-03-10,50.73262310592174
168,2007-03-17,55.344679751914626
169,2007-03-24,52.577445764318895
170,2007-03-31,54.422268422716044
171,2007-04-07,49.810211776723165
172,2007-04-14,64.56879304390041
173,2007-04-21,57.18950241031179
174,2007-04-28,52.577445764318895
175,2007-05-05,57.18950241031179
176,2007-05-12,60.87914772710609
177,2007-05-19,65.49120437309898
178,2007-05-26,67.33602703149613
179,2007-06-02,50.73262310592174
180,2007-06-09,56.26709108111319
181,2007-06-16,69.1808496898933
182,2007-06-23,59.03432506870894
183,2007-06-30,67.33602703149613
184,2007-07-07,66.41361570229756
185,2007-07-14,67.33602703149613
186,2007-07-21,71.02567234829044
