ds,Time,Month,taylor_swift,taylor_swift_lyrics,taylor_swift_album,taylor_swift_songs,taylor_swift_tour,speak_now,ts_1989,red,reputation,lover,drake,drake_lyrics,drake_album,drake_songs,drake_tour,views,scorpion,nwts,tml,take_care,all_ts_albums,all_drake_albums
2008-05-31,53,6,7.0,1.44,0.05000000000000001,0.30000000000000004,0.07,0.0,0.2857142857142857,1.35,0.0,0.2168674698795181,6.039473684210526,0.16776315789473684,0.0,0.03355263157894737,0.02348684210526316,0.0,0.0,0.0,0.0,0.0,1.8525817555938038,0.0
2008-06-30,54,7,6.0,1.3499999999999999,0.10000000000000002,0.24000000000000002,0.07,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,6.039473684210526,0.16776315789473684,0.0,0.016776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2008-07-31,55,8,7.0,1.71,0.10000000000000002,0.30000000000000004,0.07,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,6.7105263157894735,0.3355263157894737,0.0,0.03355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2008-08-31,56,9,12.0,3.78,0.20000000000000004,0.42000000000000004,0.07,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,6.039473684210526,0.3355263157894737,0.0,0.03355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2008-09-30,57,10,11.0,3.33,0.25000000000000006,0.45,0.07,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,6.7105263157894735,0.3355263157894737,0.0,0.03355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2008-10-31,58,11,28.0,8.64,0.8000000000000002,0.93,0.21000000000000002,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,7.381578947368421,0.5032894736842105,0.0,0.050328947368421056,0.0,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2008-11-30,59,12,19.0,5.85,0.4000000000000001,0.7500000000000001,0.21000000000000002,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,9.394736842105264,0.5032894736842105,0.06542763157894738,0.10065789473684211,0.02348684210526316,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2008-12-31,60,1,17.0,4.77,0.25000000000000006,0.6900000000000001,0.42000000000000004,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,8.052631578947368,0.5032894736842105,0.0,0.06710526315789474,0.02348684210526316,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2009-01-31,61,2,19.0,4.2299999999999995,0.20000000000000004,0.63,0.77,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,8.723684210526315,1.174342105263158,0.06542763157894738,0.08388157894736842,0.02348684210526316,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2009-02-28,62,3,16.0,3.42,0.20000000000000004,0.63,0.49000000000000005,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,10.736842105263158,2.013157894736842,0.06542763157894738,0.13421052631578947,0.02348684210526316,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
