,Search Term,health
164,2007-02-17,59.65621401056354
165,2007-02-24,62.83787875779359
166,2007-03-03,64.42871113140862
167,2007-03-10,64.42871113140862
168,2007-03-17,60.451630197371045
169,2007-03-24,62.83787875779359
170,2007-03-31,58.06538163694851
171,2007-04-07,61.24704638417856
172,2007-04-14,62.83787875779359
173,2007-04-21,62.83787875779359
174,2007-04-28,64.42871113140862
175,2007-05-05,61.24704638417856
176,2007-05-12,61.24704638417856
177,2007-05-19,60.451630197371045
178,2007-05-26,57.269965450140994
179,2007-06-02,60.451630197371045
180,2007-06-09,57.269965450140994
181,2007-06-16,56.474549263333486
182,2007-06-23,55.679133076525964
183,2007-06-30,54.88371688971845
184,2007-07-07,59.65621401056354
185,2007-07-14,56.474549263333486
186,2007-07-21,56.474549263333486
